Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
1	Singapore	1	internal://	InInterests	0	0	0	0
1	Singapore	1	internal://	OutInterests	0	0	0	0
1	Singapore	1	internal://	InData	0	0	0	0
1	Singapore	1	internal://	OutData	0	0	0	0
1	Singapore	1	internal://	InNacks	0	0	0	0
1	Singapore	1	internal://	OutNacks	0	0	0	0
1	Singapore	1	internal://	InSatisfiedInterests	0	0	0	0
1	Singapore	1	internal://	InTimedOutInterests	0	0	0	0
1	Singapore	1	internal://	OutSatisfiedInterests	4	0	5	0
1	Singapore	1	internal://	OutTimedOutInterests	0	0	0	0
1	Singapore	2	internal://	InInterests	0	0	0	0
1	Singapore	2	internal://	OutInterests	0	0	0	0
1	Singapore	2	internal://	InData	0	0	0	0
1	Singapore	2	internal://	OutData	0	0	0	0
1	Singapore	2	internal://	InNacks	0	0	0	0
1	Singapore	2	internal://	OutNacks	0	0	0	0
1	Singapore	2	internal://	InSatisfiedInterests	0.8	0	1	0
1	Singapore	2	internal://	InTimedOutInterests	0	0	0	0
1	Singapore	2	internal://	OutSatisfiedInterests	0	0	0	0
1	Singapore	2	internal://	OutTimedOutInterests	0	0	0	0
1	Singapore	256	internal://	InInterests	0	0	0	0
1	Singapore	256	internal://	OutInterests	0	0	0	0
1	Singapore	256	internal://	InData	0	0	0	0
1	Singapore	256	internal://	OutData	0	0	0	0
1	Singapore	256	internal://	InNacks	0	0	0	0
1	Singapore	256	internal://	OutNacks	0	0	0	0
1	Singapore	256	internal://	InSatisfiedInterests	3.2	0	4	0
1	Singapore	256	internal://	InTimedOutInterests	0	0	0	0
1	Singapore	256	internal://	OutSatisfiedInterests	0	0	0	0
1	Singapore	256	internal://	OutTimedOutInterests	0	0	0	0
1	Singapore	257	netdev://[00:00:00:00:00:01]	InInterests	796	18.1336	995	22.667
1	Singapore	257	netdev://[00:00:00:00:00:01]	OutInterests	0	0	0	0
1	Singapore	257	netdev://[00:00:00:00:00:01]	InData	0	0	0	0
1	Singapore	257	netdev://[00:00:00:00:00:01]	OutData	760.8	782.585	951	978.231
1	Singapore	257	netdev://[00:00:00:00:00:01]	InNacks	0	0	0	0
1	Singapore	257	netdev://[00:00:00:00:00:01]	OutNacks	0	0	0	0
1	Singapore	257	netdev://[00:00:00:00:00:01]	InSatisfiedInterests	431.2	0	539	0
1	Singapore	257	netdev://[00:00:00:00:00:01]	InTimedOutInterests	0	0	0	0
1	Singapore	257	netdev://[00:00:00:00:00:01]	OutSatisfiedInterests	0	0	0	0
1	Singapore	257	netdev://[00:00:00:00:00:01]	OutTimedOutInterests	0	0	0	0
1	Singapore	259	netdev://[00:00:00:00:00:05]	InInterests	0	0	0	0
1	Singapore	259	netdev://[00:00:00:00:00:05]	OutInterests	466.4	10.6406	583	13.3008
1	Singapore	259	netdev://[00:00:00:00:00:05]	InData	431.2	443.561	539	554.451
1	Singapore	259	netdev://[00:00:00:00:00:05]	OutData	0	0	0	0
1	Singapore	259	netdev://[00:00:00:00:00:05]	InNacks	0	0	0	0
1	Singapore	259	netdev://[00:00:00:00:00:05]	OutNacks	0	0	0	0
1	Singapore	259	netdev://[00:00:00:00:00:05]	InSatisfiedInterests	0	0	0	0
1	Singapore	259	netdev://[00:00:00:00:00:05]	InTimedOutInterests	0	0	0	0
1	Singapore	259	netdev://[00:00:00:00:00:05]	OutSatisfiedInterests	431.2	0	539	0
1	Singapore	259	netdev://[00:00:00:00:00:05]	OutTimedOutInterests	0	0	0	0
1	Singapore	-1	all	SatisfiedInterests	764.8	0	956	0
1	Singapore	-1	all	TimedOutInterests	0	0	0	0
1	Jakarta	1	internal://	InInterests	0	0	0	0
1	Jakarta	1	internal://	OutInterests	0	0	0	0
1	Jakarta	1	internal://	InData	0	0	0	0
1	Jakarta	1	internal://	OutData	0	0	0	0
1	Jakarta	1	internal://	InNacks	0	0	0	0
1	Jakarta	1	internal://	OutNacks	0	0	0	0
1	Jakarta	1	internal://	InSatisfiedInterests	0	0	0	0
1	Jakarta	1	internal://	InTimedOutInterests	0	0	0	0
1	Jakarta	1	internal://	OutSatisfiedInterests	0.8	0	1	0
1	Jakarta	1	internal://	OutTimedOutInterests	0	0	0	0
1	Jakarta	2	internal://	InInterests	0	0	0	0
1	Jakarta	2	internal://	OutInterests	0	0	0	0
1	Jakarta	2	internal://	InData	0	0	0	0
1	Jakarta	2	internal://	OutData	0	0	0	0
1	Jakarta	2	internal://	InNacks	0	0	0	0
1	Jakarta	2	internal://	OutNacks	0	0	0	0
1	Jakarta	2	internal://	InSatisfiedInterests	0.8	0	1	0
1	Jakarta	2	internal://	InTimedOutInterests	0	0	0	0
1	Jakarta	2	internal://	OutSatisfiedInterests	0	0	0	0
1	Jakarta	2	internal://	OutTimedOutInterests	0	0	0	0
1	Jakarta	257	netdev://[00:00:00:00:00:02]	InInterests	0	0	0	0
1	Jakarta	257	netdev://[00:00:00:00:00:02]	OutInterests	798.4	18.1898	998	22.7373
1	Jakarta	257	netdev://[00:00:00:00:00:02]	InData	86.4	88.8719	108	111.09
1	Jakarta	257	netdev://[00:00:00:00:00:02]	OutData	0	0	0	0
1	Jakarta	257	netdev://[00:00:00:00:00:02]	InNacks	0	0	0	0
