location,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694
timestamp,max,min,mean
20100101T0000,95.0,86.0,90.5
20100102T0000,84.0,58.0,74.333336
20100103T0000,86.0,54.0,69.125
20100104T0000,97.0,67.0,85.25
20100105T0000,94.0,67.0,84.166664
20100106T0000,95.0,57.0,81.916664
20100107T0000,100.0,47.0,81.791664
20100108T0000,97.0,69.0,84.5
20100109T0000,96.0,65.0,82.416664
20100110T0000,95.0,72.0,86.791664
20100111T0000,93.0,74.0,87.333336
20100112T0000,95.0,71.0,86.833336
20100113T0000,97.0,84.0,90.958336
20100114T0000,100.0,79.0,89.125
20100115T0000,99.0,66.0,84.333336
20100116T0000,96.0,64.0,78.5
20100117T0000,85.0,73.0,79.208336
20100118T0000,94.0,80.0,86.708336
20100119T0000,96.0,73.0,90.083336
20100120T0000,92.0,65.0,81.833336
20100121T0000,96.0,77.0,86.0
20100122T0000,97.0,75.0,88.375
20100123T0000,96.0,63.0,84.25
20100124T0000,97.0,71.0,87.083336
20100125T0000,96.0,81.0,88.75
20100126T0000,96.0,67.0,83.958336
20100127T0000,90.0,63.0,74.541664
20100128T0000,90.0,54.0,74.625
20100129T0000,95.0,65.0,76.375
20100130T0000,97.0,69.0,82.0
20100131T0000,95.0,66.0,80.333336
20100201T0000,95.0,60.0,79.25
20100202T0000,88.0,62.0,73.041664
20100203T0000,84.0,68.0,77.625
20100204T0000,96.0,57.0,74.25
20100205T0000,96.0,56.0,81.958336
20100206T0000,96.0,69.0,82.708336
20100207T0000,100.0,77.0,90.791664
20100208T0000,95.0,65.0,81.458336
20100209T0000,94.0,65.0,78.166664
20100210T0000,94.0,58.0,77.208336
20100211T0000,84.0,65.0,74.916664
20100212T0000,94.0,55.0,73.541664
20100213T0000,92.0,64.0,79.791664
20100214T0000,96.0,51.0,75.916664
20100215T0000,92.0,63.0,80.5
20100216T0000,89.0,56.0,75.708336
20100217T0000,95.0,79.0,85.625
20100218T0000,97.0,69.0,83.25
20100219T0000,95.0,78.0,87.458336
20100220T0000,89.0,54.0,76.333336
20100221T0000,83.0,52.0,71.833336
20100222T0000,86.0,55.0,70.958336
20100223T0000,80.0,64.0,72.708336
20100224T0000,91.0,62.0,78.125
20100225T0000,85.0,56.0,72.458336
20100226T0000,91.0,59.0,74.041664
20100227T0000,89.0,39.0,66.416664
20100228T0000,85.0,46.0,62.791668
20100301T0000,87.0,50.0,68.958336
20100302T0000,92.0,74.0,80.958336
20100303T0000,93.0,40.0,65.75
20100304T0000,91.0,49.0,69.333336
20100305T0000,98.0,45.0,66.875
20100306T0000,92.0,47.0,69.875
20100307T0000,78.0,50.0,61.125
20100308T0000,96.0,36.0,57.791668
20100309T0000,74.0,52.0,62.208332
20100310T0000,91.0,55.0,66.875
20100311T0000,97.0,66.0,83.166664
20100312T0000,90.0,54.0,74.958336
20100313T0000,79.0,56.0,67.541664
20100314T0000,86.0,62.0,74.125
20100315T0000,91.0,64.0,80.0
20100316T0000,87.0,64.0,75.583336
20100317T0000,90.0,43.0,66.833336
20100318T0000,87.0,37.0,59.666668
20100319T0000,84.0,40.0,63.625
20100320T0000,84.0,54.0,69.708336
20100321T0000,87.0,66.0,75.75
20100322T0000,97.0,57.0,74.916664
20100323T0000,92.0,56.0,71.916664
20100324T0000,90.0,54.0,67.458336
20100325T0000,87.0,48.0,69.916664
20100326T0000,86.0,62.0,74.541664
20100327T0000,91.0,56.0,73.041664
20100328T0000,88.0,63.0,76.25
20100329T0000,90.0,50.0,75.958336
20100330T0000,89.0,54.0,73.25
20100331T0000,86.0,52.0,68.083336
20100401T0000,88.0,42.0,67.416664
20100402T0000,94.0,41.0,65.666664
20100403T0000,92.0,61.0,78.333336
20100404T0000,86.0,52.0,67.583336
20100405T0000,93.0,41.0,65.0
20100406T0000,82.0,46.0,62.75
20100407T0000,90.0,48.0,66.541664
20100408T0000,90.0,74.0,84.041664
20100409T0000,97.0,56.0,82.166664
20100410T0000,97.0,62.0,80.75
20100411T0000,96.0,56.0,76.875
20100412T0000,96.0,52.0,80.583336
20100413T0000,96.0,61.0,80.166664
20100414T0000,87.0,69.0,79.125
20100415T0000,94.0,55.0,78.208336
20100416T0000,96.0,57.0,78.791664
20100417T0000,95.0,44.0,74.291664
20100418T0000,96.0,52.0,68.0
20100419T0000,90.0,46.0,63.041668
20100420T0000,82.0,48.0,64.416664
20100421T0000,94.0,50.0,71.041664
20100422T0000,92.0,55.0,71.291664
20100423T0000,90.0,50.0,67.791664
20100424T0000,90.0,52.0,67.625
20100425T0000,87.0,44.0,64.041664
20100426T0000,94.0,52.0,69.083336
20100427T0000,90.0,52.0,73.416664
20100428T0000,86.0,42.0,65.5
20100429T0000,89.0,47.0,60.833332
20100430T0000,92.0,32.0,67.416664
20100501T0000,96.0,74.0,89.125
20100502T0000,94.0,72.0,83.5
20100503T0000,91.0,58.0,73.666664
20100504T0000,95.0,59.0,79.125
20100505T0000,96.0,67.0,84.208336
20100506T0000,96.0,73.0,84.958336
20100507T0000,87.0,56.0,71.458336
20100508T0000,94.0,54.0,70.333336
20100509T0000,96.0,68.0,84.291664
20100510T0000,96.0,80.0,87.166664
20100511T0000,97.0,60.0,81.541664
20100512T0000,96.0,66.0,81.75
20100513T0000,95.0,80.0,90.625
20100514T0000,95.0,69.0,82.25
20100515T0000,96.0,67.0,78.5
20100516T0000,84.0,54.0,66.333336
20100517T0000,83.0,59.0,70.333336
20100518T0000,97.0,51.0,73.125
20100519T0000,90.0,53.0,72.875
20100520T0000,95.0,75.0,86.625
20100521T0000,97.0,66.0,81.375
20100522T0000,96.0,50.0,76.375
20100523T0000,96.0,55.0,75.666664
20100524T0000,87.0,46.0,65.75
20100525T0000,92.0,39.0,62.416668
20100526T0000,94.0,42.0,78.166664
20100527T0000,90.0,63.0,73.791664
20100528T0000,88.0,64.0,74.958336
20100529T0000,96.0,52.0,70.833336
20100530T0000,90.0,67.0,79.166664
20100531T0000,91.0,60.0,75.583336
20100601T0000,96.0,61.0,78.0
20100602T0000,94.0,59.0,76.208336
20100603T0000,96.0,71.0,83.75
20100604T0000,92.0,54.0,77.208336
20100605T0000,88.0,47.0,65.25
20100606T0000,91.0,57.0,71.416664
20100607T0000,91.0,54.0,70.583336
20100608T0000,89.0,62.0,76.375
20100609T0000,92.0,49.0,74.541664
20100610T0000,97.0,39.0,72.625
20100611T0000,97.0,61.0,75.875
20100612T0000,92.0,65.0,77.291664
