timestamp,max,min,mean
19850101T0000,98.0,86.0,94.375
19850102T0000,98.0,91.0,95.041664
19850103T0000,94.0,83.0,89.541664
19850104T0000,100.0,71.0,92.541664
19850105T0000,100.0,80.0,91.083336
19850106T0000,98.0,81.0,87.791664
19850107T0000,88.0,75.0,82.916664
19850108T0000,100.0,82.0,88.375
19850109T0000,100.0,77.0,89.291664
19850110T0000,100.0,86.0,90.916664
19850111T0000,100.0,89.0,95.0
19850112T0000,95.0,86.0,91.0
19850113T0000,93.0,86.0,89.791664
19850114T0000,90.0,83.0,87.541664
19850115T0000,100.0,85.0,92.125
19850116T0000,94.0,91.0,92.958336
19850117T0000,100.0,81.0,92.791664
19850118T0000,99.0,89.0,94.875
19850119T0000,100.0,93.0,97.916664
19850120T0000,99.0,87.0,94.416664
19850121T0000,100.0,90.0,97.333336
19850122T0000,100.0,99.0,99.875
19850123T0000,100.0,97.0,99.625
19850124T0000,98.0,85.0,90.625
19850125T0000,100.0,84.0,91.791664
19850126T0000,100.0,79.0,95.0
19850127T0000,100.0,71.0,88.916664
19850128T0000,99.0,76.0,92.125
19850129T0000,100.0,67.0,89.333336
19850130T0000,100.0,93.0,97.083336
19850131T0000,100.0,72.0,93.625
19850201T0000,100.0,87.0,96.125
19850202T0000,100.0,86.0,95.958336
19850203T0000,100.0,88.0,94.583336
19850204T0000,99.0,65.0,87.0
19850205T0000,100.0,74.0,91.083336
19850206T0000,100.0,80.0,94.833336
19850207T0000,100.0,68.0,90.708336
19850208T0000,100.0,88.0,95.833336
19850209T0000,100.0,85.0,96.166664
19850210T0000,100.0,77.0,89.791664
19850211T0000,89.0,61.0,78.791664
19850212T0000,90.0,77.0,83.041664
19850213T0000,98.0,67.0,85.958336
19850214T0000,100.0,90.0,96.416664
19850215T0000,97.0,74.0,86.541664
19850216T0000,94.0,72.0,83.583336
19850217T0000,95.0,82.0,88.666664
19850218T0000,92.0,77.0,82.291664
19850219T0000,87.0,70.0,78.5
19850220T0000,100.0,73.0,82.416664
19850221T0000,99.0,71.0,88.791664
19850222T0000,96.0,81.0,91.041664
19850223T0000,97.0,75.0,89.75
19850224T0000,94.0,65.0,86.5
19850225T0000,100.0,73.0,90.625
19850226T0000,98.0,55.0,82.166664
19850227T0000,100.0,60.0,83.791664
19850228T0000,100.0,62.0,84.25
19850301T0000,100.0,56.0,83.916664
19850302T0000,100.0,70.0,89.041664
19850303T0000,99.0,62.0,85.583336
19850304T0000,100.0,79.0,91.5
19850305T0000,100.0,87.0,95.291664
19850306T0000,100.0,86.0,93.75
19850307T0000,100.0,81.0,93.25
19850308T0000,100.0,64.0,86.375
19850309T0000,97.0,66.0,86.166664
19850310T0000,100.0,57.0,83.041664
19850311T0000,96.0,72.0,86.041664
19850312T0000,97.0,63.0,83.0
19850313T0000,100.0,62.0,81.791664
19850314T0000,97.0,73.0,87.625
19850315T0000,98.0,54.0,79.208336
19850316T0000,100.0,70.0,86.125
19850317T0000,96.0,79.0,88.625
19850318T0000,98.0,87.0,92.375
19850319T0000,94.0,61.0,81.916664
19850320T0000,92.0,55.0,76.5
19850321T0000,100.0,49.0,79.833336
