Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0874922	Jakarta	0	1	LastDelay	0.0846771	84677.1	1	3
0.0874922	Jakarta	0	1	FullDelay	0.0846771	84677.1	1	3
0.0958282	Jakarta	0	2	LastDelay	0.0920382	92038.2	1	3
0.0958282	Jakarta	0	2	FullDelay	0.0920382	92038.2	1	3
0.104164	Jakarta	0	3	LastDelay	0.100006	100006	1	3
0.104164	Jakarta	0	3	FullDelay	0.100006	100006	1	3
0.107016	Osaka	0	1	LastDelay	0.105157	105157	1	3
0.107016	Osaka	0	1	FullDelay	0.105157	105157	1	3
0.1125	Jakarta	0	4	LastDelay	0.108102	108102	1	3
0.1125	Jakarta	0	4	FullDelay	0.108102	108102	1	3
0.115352	Osaka	0	2	LastDelay	0.111925	111925	1	3
0.115352	Osaka	0	2	FullDelay	0.111925	111925	1	3
0.120836	Jakarta	0	5	LastDelay	0.114051	114051	1	3
0.120836	Jakarta	0	5	FullDelay	0.114051	114051	1	3
0.123688	Osaka	0	3	LastDelay	0.118667	118667	1	3
0.123688	Osaka	0	3	FullDelay	0.118667	118667	1	3
0.129172	Jakarta	0	6	LastDelay	0.121979	121979	1	3
0.129172	Jakarta	0	6	FullDelay	0.121979	121979	1	3
0.132024	Osaka	0	4	LastDelay	0.125328	125328	1	3
0.132024	Osaka	0	4	FullDelay	0.125328	125328	1	3
0.137508	Jakarta	0	7	LastDelay	0.129037	129037	1	3
0.137508	Jakarta	0	7	FullDelay	0.129037	129037	1	3
0.14036	Osaka	0	5	LastDelay	0.132164	132164	1	3
0.14036	Osaka	0	5	FullDelay	0.132164	132164	1	3
0.145844	Jakarta	0	8	LastDelay	0.136257	136257	1	3
0.145844	Jakarta	0	8	FullDelay	0.136257	136257	1	3
0.148696	Osaka	0	6	LastDelay	0.139175	139175	1	3
0.148696	Osaka	0	6	FullDelay	0.139175	139175	1	3
0.15142	Melbourne	0	1	LastDelay	0.149725	149725	1	4
0.15142	Melbourne	0	1	FullDelay	0.149725	149725	1	4
0.15418	Jakarta	0	9	LastDelay	0.143565	143565	1	3
0.15418	Jakarta	0	9	FullDelay	0.143565	143565	1	3
0.157032	Osaka	0	7	LastDelay	0.144929	144929	1	3
0.157032	Osaka	0	7	FullDelay	0.144929	144929	1	3
0.159756	Melbourne	0	2	LastDelay	0.157338	157338	1	4
0.159756	Melbourne	0	2	FullDelay	0.157338	157338	1	4
0.162516	Jakarta	0	10	LastDelay	0.150741	150741	1	3
0.162516	Jakarta	0	10	FullDelay	0.150741	150741	1	3
0.165368	Osaka	0	8	LastDelay	0.151978	151978	1	3
0.165368	Osaka	0	8	FullDelay	0.151978	151978	1	3
0.168092	Melbourne	0	3	LastDelay	0.165071	165071	1	4
0.168092	Melbourne	0	3	FullDelay	0.165071	165071	1	4
0.170852	Jakarta	0	11	LastDelay	0.157965	157965	1	3
