Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.104383	Jakarta	0	1	LastDelay	0.0846771	84677.1	1	3
0.104383	Jakarta	0	1	FullDelay	0.0846771	84677.1	1	3
0.112719	Jakarta	0	2	LastDelay	0.086189	86189	1	3
0.112719	Jakarta	0	2	FullDelay	0.086189	86189	1	3
0.121022	Osaka	0	1	LastDelay	0.108009	108009	1	3
0.121022	Osaka	0	1	FullDelay	0.108009	108009	1	3
0.121055	Jakarta	0	3	LastDelay	0.0919494	91949.4	1	3
0.121055	Jakarta	0	3	FullDelay	0.0919494	91949.4	1	3
0.129358	Osaka	0	2	LastDelay	0.10537	105370	1	3
0.129358	Osaka	0	2	FullDelay	0.10537	105370	1	3
0.129391	Jakarta	0	4	LastDelay	0.0986047	98604.7	1	3
0.129391	Jakarta	0	4	FullDelay	0.0986047	98604.7	1	3
0.137727	Jakarta	0	5	LastDelay	0.0902327	90232.7	1	3
0.137727	Jakarta	0	5	FullDelay	0.0902327	90232.7	1	3
0.140303	Osaka	0	3	LastDelay	0.105157	105157	1	3
0.140303	Osaka	0	3	FullDelay	0.105157	105157	1	3
0.146063	Jakarta	0	6	LastDelay	0.0957117	95711.7	1	3
0.146063	Jakarta	0	6	FullDelay	0.0957117	95711.7	1	3
0.15203	Osaka	0	4	LastDelay	0.105157	105157	1	3
0.15203	Osaka	0	4	FullDelay	0.105157	105157	1	3
0.154399	Jakarta	0	7	LastDelay	0.0951013	95101.3	1	3
0.154399	Jakarta	0	7	FullDelay	0.0951013	95101.3	1	3
0.162735	Jakarta	0	8	LastDelay	0.0956235	95623.5	1	3
0.162735	Jakarta	0	8	FullDelay	0.0956235	95623.5	1	3
0.165426	Melbourne	0	1	LastDelay	0.15356	153560	1	4
0.165426	Melbourne	0	1	FullDelay	0.15356	153560	1	4
0.168955	Osaka	0	5	LastDelay	0.111578	111578	1	3
0.168955	Osaka	0	5	FullDelay	0.111578	111578	1	3
0.171071	Jakarta	0	9	LastDelay	0.0967631	96763.1	1	3
0.171071	Jakarta	0	9	FullDelay	0.0967631	96763.1	1	3
0.173762	Melbourne	0	2	LastDelay	0.156833	156833	1	4
0.173762	Melbourne	0	2	FullDelay	0.156833	156833	1	4
0.179407	Jakarta	0	10	LastDelay	0.0969779	96977.9	1	3
0.179407	Jakarta	0	10	FullDelay	0.0969779	96977.9	1	3
0.184706	Melbourne	0	3	LastDelay	0.163558	163558	1	4
0.184706	Melbourne	0	3	FullDelay	0.163558	163558	1	4
0.187743	Jakarta	0	11	LastDelay	0.0975348	97534.8	1	3
0.187743	Jakarta	0	11	FullDelay	0.0975348	97534.8	1	3
0.193963	Osaka	0	6	LastDelay	0.127311	127311	1	3
0.193963	Osaka	0	6	FullDelay	0.127311	127311	1	3
0.194942	LA	0	1	LastDelay	0.193802	193802	1	3
0.194942	LA	0	1	FullDelay	0.193802	193802	1	3
0.196079	Jakarta	0	12	LastDelay	0.0981898	98189.8	1	3
0.196079	Jakarta	0	12	FullDelay	0.0981898	98189.8	1	3
0.196433	Melbourne	0	4	LastDelay	0.16662	166620	1	4
0.196433	Melbourne	0	4	FullDelay	0.16662	166620	1	4
0.203278	LA	0	2	LastDelay	0.196847	196847	1	3
0.203278	LA	0	2	FullDelay	0.196847	196847	1	3
0.204415	Jakarta	0	13	LastDelay	0.0876023	87602.3	1	3
0.204415	Jakarta	0	13	FullDelay	0.0876023	87602.3	1	3
0.210635	Osaka	0	7	LastDelay	0.125909	125909	1	3
0.210635	Osaka	0	7	FullDelay	0.125909	125909	1	3
0.212751	Jakarta	0	14	LastDelay	0.0901796	90179.6	1	3
0.212751	Jakarta	0	14	FullDelay	0.0901796	90179.6	1	3
0.213358	Melbourne	0	5	LastDelay	0.168559	168559	1	4
0.213358	Melbourne	0	5	FullDelay	0.168559	168559	1	4
0.214223	LA	0	3	LastDelay	0.205692	205692	1	3
0.214223	LA	0	3	FullDelay	0.205692	205692	1	3
0.225061	Jakarta	0	15	LastDelay	0.0846771	84677.1	1	3
0.225061	Jakarta	0	15	FullDelay	0.0846771	84677.1	1	3
0.22595	LA	0	4	LastDelay	0.212382	212382	1	3
0.22595	LA	0	4	FullDelay	0.212382	212382	1	3
0.227307	Osaka	0	8	LastDelay	0.133576	133576	1	3
0.227307	Osaka	0	8	FullDelay	0.133576	133576	1	3
0.237417	Jakarta	0	16	LastDelay	0.0846771	84677.1	1	3
0.237417	Jakarta	0	16	FullDelay	0.0846771	84677.1	1	3
0.238366	Melbourne	0	6	LastDelay	0.187618	187618	1	4
0.238366	Melbourne	0	6	FullDelay	0.187618	187618	1	4
0.242875	LA	0	5	LastDelay	0.228252	228252	1	3
0.242875	LA	0	5	FullDelay	0.228252	228252	1	3
0.243979	Osaka	0	9	LastDelay	0.143969	143969	1	3
0.243979	Osaka	0	9	FullDelay	0.143969	143969	1	3
0.250821	Jakarta	0	17	LastDelay	0.0846771	84677.1	1	3
0.250821	Jakarta	0	17	FullDelay	0.0846771	84677.1	1	3
0.252315	Osaka	0	10	LastDelay	0.149229	149229	1	3
0.252315	Osaka	0	10	FullDelay	0.149229	149229	1	3
0.255038	Melbourne	0	7	LastDelay	0.185756	185756	1	4
0.255038	Melbourne	0	7	FullDelay	0.185756	185756	1	4
0.259157	Jakarta	0	18	LastDelay	0.0906811	90681.1	1	3
0.259157	Jakarta	0	18	FullDelay	0.0906811	90681.1	1	3
0.260651	Osaka	0	11	LastDelay	0.152139	152139	1	3
0.260651	Osaka	0	11	FullDelay	0.152139	152139	1	3
0.267883	LA	0	6	LastDelay	0.246938	246938	1	3
0.267883	LA	0	6	FullDelay	0.246938	246938	1	3
0.268133	Jakarta	0	19	LastDelay	0.0846771	84677.1	1	3
0.268133	Jakarta	0	19	FullDelay	0.0846771	84677.1	1	3
0.27171	Melbourne	0	8	LastDelay	0.200043	200043	1	4
0.27171	Melbourne	0	8	FullDelay	0.200043	200043	1	4
0.277323	Osaka	0	12	LastDelay	0.164185	164185	1	3
0.277323	Osaka	0	12	FullDelay	0.164185	164185	1	3
0.278685	Jakarta	0	20	LastDelay	0.0791512	79151.2	1	3
0.278685	Jakarta	0	20	FullDelay	0.0791512	79151.2	1	3
0.284555	LA	0	7	LastDelay	0.248263	248263	1	3
0.284555	LA	0	7	FullDelay	0.248263	248263	1	3
0.288382	Melbourne	0	9	LastDelay	0.20009	200090	1	4
0.288382	Melbourne	0	9	FullDelay	0.20009	200090	1	4
0.294538	Jakarta	0	0	LastDelay	0.0846771	84677.1	1	3
0.294538	Jakarta	0	0	FullDelay	0.294538	294538	2	3
0.296718	Melbourne	0	10	LastDelay	0.195712	195712	1	4
0.296718	Melbourne	0	10	FullDelay	0.195712	195712	1	4
0.301227	LA	0	8	LastDelay	0.247457	247457	1	3
0.301227	LA	0	8	FullDelay	0.247457	247457	1	3
0.302331	Osaka	0	13	LastDelay	0.169391	169391	1	3
0.302331	Osaka	0	13	FullDelay	0.169391	169391	1	3
0.305054	Melbourne	0	11	LastDelay	0.19753	197530	1	4
0.305054	Melbourne	0	11	FullDelay	0.19753	197530	1	4
0.307704	Jakarta	0	21	LastDelay	0.0791512	79151.2	1	3
0.307704	Jakarta	0	21	FullDelay	0.0791512	79151.2	1	3
0.317899	LA	0	9	LastDelay	0.2545	254500	1	3
0.317899	LA	0	9	FullDelay	0.2545	254500	1	3
0.319003	Osaka	0	14	LastDelay	0.169592	169592	1	3
0.319003	Osaka	0	14	FullDelay	0.169592	169592	1	3
0.321726	Melbourne	0	12	LastDelay	0.199214	199214	1	4
0.321726	Melbourne	0	12	FullDelay	0.199214	199214	1	4
0.324746	Jakarta	0	22	LastDelay	0.0791512	79151.2	1	3
0.324746	Jakarta	0	22	FullDelay	0.0791512	79151.2	1	3
0.326235	LA	0	10	LastDelay	0.251045	251045	1	3
0.326235	LA	0	10	FullDelay	0.251045	251045	1	3
0.333082	Jakarta	0	23	LastDelay	0.082485	82485	1	3
0.333082	Jakarta	0	23	FullDelay	0.082485	82485	1	3
0.334571	LA	0	11	LastDelay	0.243249	243249	1	3
0.334571	LA	0	11	FullDelay	0.243249	243249	1	3
0.335675	Osaka	0	15	LastDelay	0.18256	182560	1	3
0.335675	Osaka	0	15	FullDelay	0.18256	182560	1	3
0.344011	Osaka	0	16	LastDelay	0.188354	188354	1	3
0.344011	Osaka	0	16	FullDelay	0.188354	188354	1	3
0.346734	Melbourne	0	13	LastDelay	0.220796	220796	1	4
0.346734	Melbourne	0	13	FullDelay	0.220796	220796	1	4
0.347086	Jakarta	0	24	LastDelay	0.0791512	79151.2	1	3
0.347086	Jakarta	0	24	FullDelay	0.0791512	79151.2	1	3
0.351243	LA	0	12	LastDelay	0.255096	255096	1	3
0.351243	LA	0	12	FullDelay	0.255096	255096	1	3
0.363406	Melbourne	0	14	LastDelay	0.224067	224067	1	4
0.363406	Melbourne	0	14	FullDelay	0.224067	224067	1	4
0.363762	Jakarta	0	25	LastDelay	0.0791512	79151.2	1	3
0.363762	Jakarta	0	25	FullDelay	0.0791512	79151.2	1	3
0.369019	Osaka	0	20	LastDelay	0.187458	187458	1	3
0.369019	Osaka	0	20	FullDelay	0.187458	187458	1	3
0.372098	Jakarta	0	26	LastDelay	0.0872889	87288.9	1	3
0.372098	Jakarta	0	26	FullDelay	0.0872889	87288.9	1	3
0.376251	LA	0	13	LastDelay	0.276603	276603	1	3
0.376251	LA	0	13	FullDelay	0.276603	276603	1	3
0.377355	Osaka	0	21	LastDelay	0.192332	192332	1	3
0.377355	Osaka	0	21	FullDelay	0.192332	192332	1	3
0.380078	Melbourne	0	15	LastDelay	0.237646	237646	1	4
0.380078	Melbourne	0	15	FullDelay	0.237646	237646	1	4
0.380434	Jakarta	0	27	LastDelay	0.0922699	92269.9	1	3
0.380434	Jakarta	0	27	FullDelay	0.0922699	92269.9	1	3
0.385691	Osaka	0	22	LastDelay	0.191961	191961	1	3
