Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.083902	Jakarta	0	1	LastDelay	0.0819315	81931.5	1	3
0.083902	Jakarta	0	1	FullDelay	0.0819315	81931.5	1	3
0.08995	Jakarta	0	2	LastDelay	0.0872971	87297.1	1	3
0.08995	Jakarta	0	2	FullDelay	0.0872971	87297.1	1	3
0.095998	Jakarta	0	3	LastDelay	0.0930875	93087.5	1	3
0.095998	Jakarta	0	3	FullDelay	0.0930875	93087.5	1	3
0.101883	Osaka	0	1	LastDelay	0.100581	100581	1	3
0.101883	Osaka	0	1	FullDelay	0.100581	100581	1	3
0.102046	Jakarta	0	4	LastDelay	0.0989674	98967.4	1	3
0.102046	Jakarta	0	4	FullDelay	0.0989674	98967.4	1	3
0.107931	Osaka	0	2	LastDelay	0.105532	105532	1	3
0.107931	Osaka	0	2	FullDelay	0.105532	105532	1	3
0.108094	Jakarta	0	5	LastDelay	0.103345	103345	1	3
0.108094	Jakarta	0	5	FullDelay	0.103345	103345	1	3
0.113979	Osaka	0	3	LastDelay	0.110464	110464	1	3
0.113979	Osaka	0	3	FullDelay	0.110464	110464	1	3
0.114142	Jakarta	0	6	LastDelay	0.109107	109107	1	3
0.114142	Jakarta	0	6	FullDelay	0.109107	109107	1	3
0.120027	Osaka	0	4	LastDelay	0.115339	115339	1	3
0.120027	Osaka	0	4	FullDelay	0.115339	115339	1	3
0.12019	Jakarta	0	7	LastDelay	0.11426	114260	1	3
0.12019	Jakarta	0	7	FullDelay	0.11426	114260	1	3
0.126075	Osaka	0	5	LastDelay	0.120337	120337	1	3
0.126075	Osaka	0	5	FullDelay	0.120337	120337	1	3
0.126238	Jakarta	0	8	LastDelay	0.119527	119527	1	3
0.126238	Jakarta	0	8	FullDelay	0.119527	119527	1	3
0.132123	Osaka	0	6	LastDelay	0.125457	125457	1	3
0.132123	Osaka	0	6	FullDelay	0.125457	125457	1	3
0.132286	Jakarta	0	9	LastDelay	0.124855	124855	1	3
0.132286	Jakarta	0	9	FullDelay	0.124855	124855	1	3
0.138171	Osaka	0	7	LastDelay	0.129698	129698	1	3
0.138171	Osaka	0	7	FullDelay	0.129698	129698	1	3
0.138334	Jakarta	0	10	LastDelay	0.130091	130091	1	3
0.138334	Jakarta	0	10	FullDelay	0.130091	130091	1	3
0.144219	Osaka	0	8	LastDelay	0.134846	134846	1	3
0.144219	Osaka	0	8	FullDelay	0.134846	134846	1	3
0.144382	Jakarta	0	11	LastDelay	0.135361	135361	1	3
0.144382	Jakarta	0	11	FullDelay	0.135361	135361	1	3
0.146057	Melbourne	0	1	LastDelay	0.144871	144871	1	4
0.146057	Melbourne	0	1	FullDelay	0.144871	144871	1	4
0.150267	Osaka	0	9	LastDelay	0.140266	140266	1	3
0.150267	Osaka	0	9	FullDelay	0.140266	140266	1	3
0.15043	Jakarta	0	12	LastDelay	0.140641	140641	1	3
0.15043	Jakarta	0	12	FullDelay	0.140641	140641	1	3
0.152105	Melbourne	0	2	LastDelay	0.150413	150413	1	4
0.152105	Melbourne	0	2	FullDelay	0.150413	150413	1	4
0.156315	Osaka	0	10	LastDelay	0.146006	146006	1	3
0.156315	Osaka	0	10	FullDelay	0.146006	146006	1	3
0.156478	Jakarta	0	16	LastDelay	0.141204	141204	1	3
0.156478	Jakarta	0	16	FullDelay	0.141204	141204	1	3
0.158153	Melbourne	0	3	LastDelay	0.156039	156039	1	4
0.158153	Melbourne	0	3	FullDelay	0.156039	156039	1	4
0.162363	Osaka	0	11	LastDelay	0.151511	151511	1	3
0.162363	Osaka	0	11	FullDelay	0.151511	151511	1	3
0.162526	Jakarta	0	21	LastDelay	0.14154	141540	1	3
0.162526	Jakarta	0	21	FullDelay	0.14154	141540	1	3
0.164201	Melbourne	0	4	LastDelay	0.16122	161220	1	4
0.164201	Melbourne	0	4	FullDelay	0.16122	161220	1	4
0.168411	Osaka	0	12	LastDelay	0.157097	157097	1	3
0.168411	Osaka	0	12	FullDelay	0.157097	157097	1	3
0.168574	Jakarta	0	25	LastDelay	0.141781	141781	1	3
0.168574	Jakarta	0	25	FullDelay	0.141781	141781	1	3
0.170249	Melbourne	0	5	LastDelay	0.165769	165769	1	4
0.170249	Melbourne	0	5	FullDelay	0.165769	165769	1	4
0.174459	Osaka	0	14	LastDelay	0.159518	159518	1	3
0.174459	Osaka	0	14	FullDelay	0.159518	159518	1	3
0.174622	Jakarta	0	33	LastDelay	0.14481	144810	1	3
0.174622	Jakarta	0	33	FullDelay	0.14481	144810	1	3
0.175803	LA	0	1	LastDelay	0.175689	175689	1	3
0.175803	LA	0	1	FullDelay	0.175689	175689	1	3
0.176297	Melbourne	0	6	LastDelay	0.171223	171223	1	4
0.176297	Melbourne	0	6	FullDelay	0.171223	171223	1	4
0.180507	Osaka	0	23	LastDelay	0.159439	159439	1	3
0.180507	Osaka	0	23	FullDelay	0.159439	159439	1	3
0.18067	Jakarta	0	41	LastDelay	0.142326	142326	1	3
0.18067	Jakarta	0	41	FullDelay	0.142326	142326	1	3
0.181851	LA	0	2	LastDelay	0.181208	181208	1	3
0.181851	LA	0	2	FullDelay	0.181208	181208	1	3
0.182345	Melbourne	0	7	LastDelay	0.175417	175417	1	4
0.182345	Melbourne	0	7	FullDelay	0.175417	175417	1	4
0.186555	Osaka	0	27	LastDelay	0.160864	160864	1	3
0.186555	Osaka	0	27	FullDelay	0.160864	160864	1	3
0.186718	Jakarta	0	47	LastDelay	0.142154	142154	1	3
0.186718	Jakarta	0	47	FullDelay	0.142154	142154	1	3
0.187899	LA	0	3	LastDelay	0.187045	187045	1	3
0.187899	LA	0	3	FullDelay	0.187045	187045	1	3
0.188393	Melbourne	0	8	LastDelay	0.181227	181227	1	4
0.188393	Melbourne	0	8	FullDelay	0.181227	181227	1	4
0.192603	Osaka	0	33	LastDelay	0.159643	159643	1	3
0.192603	Osaka	0	33	FullDelay	0.159643	159643	1	3
0.192766	Jakarta	0	56	LastDelay	0.141174	141174	1	3
0.192766	Jakarta	0	56	FullDelay	0.141174	141174	1	3
0.193947	LA	0	4	LastDelay	0.19259	192590	1	3
0.193947	LA	0	4	FullDelay	0.19259	192590	1	3
0.194441	Melbourne	0	9	LastDelay	0.185612	185612	1	4
0.194441	Melbourne	0	9	FullDelay	0.185612	185612	1	4
0.198651	Osaka	0	36	LastDelay	0.160724	160724	1	3
0.198651	Osaka	0	36	FullDelay	0.160724	160724	1	3
0.198814	Jakarta	0	61	LastDelay	0.141689	141689	1	3
0.198814	Jakarta	0	61	FullDelay	0.141689	141689	1	3
0.199995	LA	0	5	LastDelay	0.198532	198532	1	3
0.199995	LA	0	5	FullDelay	0.198532	198532	1	3
0.200489	Melbourne	0	10	LastDelay	0.190389	190389	1	4
0.200489	Melbourne	0	10	FullDelay	0.190389	190389	1	4
0.204862	Jakarta	0	66	LastDelay	0.142137	142137	1	3
0.204862	Jakarta	0	66	FullDelay	0.142137	142137	1	3
0.206043	LA	0	6	LastDelay	0.203948	203948	1	3
0.206043	LA	0	6	FullDelay	0.203948	203948	1	3
0.206537	Melbourne	0	11	LastDelay	0.195785	195785	1	4
0.206537	Melbourne	0	11	FullDelay	0.195785	195785	1	4
0.210747	Osaka	0	51	LastDelay	0.160915	160915	1	3
0.210747	Osaka	0	51	FullDelay	0.160915	160915	1	3
0.21091	Jakarta	0	72	LastDelay	0.142711	142711	1	3
0.21091	Jakarta	0	72	FullDelay	0.142711	142711	1	3
0.212091	LA	0	7	LastDelay	0.208461	208461	1	3
0.212091	LA	0	7	FullDelay	0.208461	208461	1	3
0.212585	Melbourne	0	12	LastDelay	0.200334	200334	1	4
0.212585	Melbourne	0	12	FullDelay	0.200334	200334	1	4
0.216958	Jakarta	0	77	LastDelay	0.14137	141370	1	3
0.216958	Jakarta	0	77	FullDelay	0.14137	141370	1	3
0.218139	LA	0	8	LastDelay	0.212762	212762	1	3
0.218139	LA	0	8	FullDelay	0.212762	212762	1	3
0.218633	Melbourne	0	14	LastDelay	0.204699	204699	1	4
0.218633	Melbourne	0	14	FullDelay	0.204699	204699	1	4
0.222843	Osaka	0	61	LastDelay	0.160826	160826	1	3
0.222843	Osaka	0	61	FullDelay	0.160826	160826	1	3
0.223006	Jakarta	0	85	LastDelay	0.141516	141516	1	3
0.223006	Jakarta	0	85	FullDelay	0.141516	141516	1	3
0.224187	LA	0	9	LastDelay	0.217847	217847	1	3
0.224187	LA	0	9	FullDelay	0.217847	217847	1	3
0.224681	Melbourne	0	23	LastDelay	0.200563	200563	1	4
0.224681	Melbourne	0	23	FullDelay	0.200563	200563	1	4
0.228891	Osaka	0	67	LastDelay	0.160817	160817	1	3
0.228891	Osaka	0	67	FullDelay	0.160817	160817	1	3
0.229054	Jakarta	0	91	LastDelay	0.140861	140861	1	3
0.229054	Jakarta	0	91	FullDelay	0.140861	140861	1	3
0.230235	LA	0	10	LastDelay	0.222716	222716	1	3
0.230235	LA	0	10	FullDelay	0.222716	222716	1	3
0.230729	Melbourne	0	27	LastDelay	0.202443	202443	1	4
0.230729	Melbourne	0	27	FullDelay	0.202443	202443	1	4
0.234939	Osaka	0	29	LastDelay	0.206914	206914	1	3
0.234939	Osaka	0	29	FullDelay	0.206914	206914	1	3
0.235102	Jakarta	0	97	LastDelay	0.141432	141432	1	3
0.235102	Jakarta	0	97	FullDelay	0.141432	141432	1	3
0.236283	LA	0	11	LastDelay	0.22715	227150	1	3
0.236283	LA	0	11	FullDelay	0.22715	227150	1	3
0.236777	Melbourne	0	33	LastDelay	0.202498	202498	1	4
0.236777	Melbourne	0	33	FullDelay	0.202498	202498	1	4
0.24115	Jakarta	0	101	LastDelay	0.142078	142078	1	3
0.24115	Jakarta	0	101	FullDelay	0.142078	142078	1	3
0.242331	LA	0	12	LastDelay	0.232716	232716	1	3
0.242331	LA	0	12	FullDelay	0.232716	232716	1	3
0.242825	Melbourne	0	36	LastDelay	0.206412	206412	1	4
0.242825	Melbourne	0	36	FullDelay	0.206412	206412	1	4
0.247035	Osaka	0	42	LastDelay	0.206283	206283	1	3
0.247035	Osaka	0	42	FullDelay	0.206283	206283	1	3
0.247198	Jakarta	0	106	LastDelay	0.142099	142099	1	3
0.247198	Jakarta	0	106	FullDelay	0.142099	142099	1	3
0.248379	LA	0	14	LastDelay	0.238268	238268	1	3
0.248379	LA	0	14	FullDelay	0.238268	238268	1	3
0.253083	Osaka	0	50	LastDelay	0.204207	204207	1	3
0.253083	Osaka	0	50	FullDelay	0.204207	204207	1	3
0.253246	Jakarta	0	114	LastDelay	0.141009	141009	1	3
0.253246	Jakarta	0	114	FullDelay	0.141009	141009	1	3
0.254427	LA	0	23	LastDelay	0.235876	235876	1	3
0.254427	LA	0	23	FullDelay	0.235876	235876	1	3
0.254921	Melbourne	0	51	LastDelay	0.205799	205799	1	4
0.254921	Melbourne	0	51	FullDelay	0.205799	205799	1	4
0.259131	Osaka	0	55	LastDelay	0.204871	204871	1	3
0.259131	Osaka	0	55	FullDelay	0.204871	204871	1	3
0.259294	Jakarta	0	120	LastDelay	0.142125	142125	1	3
0.259294	Jakarta	0	120	FullDelay	0.142125	142125	1	3
0.260475	LA	0	27	LastDelay	0.237793	237793	1	3
0.260475	LA	0	27	FullDelay	0.237793	237793	1	3
0.265179	Osaka	0	60	LastDelay	0.205085	205085	1	3
0.265179	Osaka	0	60	FullDelay	0.205085	205085	1	3
0.265342	Jakarta	0	127	LastDelay	0.141396	141396	1	3
0.265342	Jakarta	0	127	FullDelay	0.141396	141396	1	3
0.266523	LA	0	33	LastDelay	0.237919	237919	1	3
0.266523	LA	0	33	FullDelay	0.237919	237919	1	3
0.267017	Melbourne	0	61	LastDelay	0.20538	205380	1	4
0.267017	Melbourne	0	61	FullDelay	0.20538	205380	1	4
0.27139	Jakarta	0	132	LastDelay	0.142396	142396	1	3
0.27139	Jakarta	0	132	FullDelay	0.142396	142396	1	3
0.272571	LA	0	36	LastDelay	0.240251	240251	1	3
0.272571	LA	0	36	FullDelay	0.240251	240251	1	3
0.273065	Melbourne	0	67	LastDelay	0.206845	206845	1	4
0.273065	Melbourne	0	67	FullDelay	0.206845	206845	1	4
0.277438	Jakarta	0	138	LastDelay	0.142716	142716	1	3
0.277438	Jakarta	0	138	FullDelay	0.142716	142716	1	3
0.279113	Melbourne	0	29	LastDelay	0.248911	248911	1	4
0.279113	Melbourne	0	29	FullDelay	0.248911	248911	1	4
0.283486	Jakarta	0	146	LastDelay	0.142477	142477	1	3
0.283486	Jakarta	0	146	FullDelay	0.142477	142477	1	3
0.284667	LA	0	51	LastDelay	0.241037	241037	1	3
0.284667	LA	0	51	FullDelay	0.241037	241037	1	3
0.289371	Osaka	0	125	LastDelay	0.161445	161445	1	3
0.289371	Osaka	0	125	FullDelay	0.161445	161445	1	3
0.289534	Jakarta	0	153	LastDelay	0.14136	141360	1	3
0.289534	Jakarta	0	153	FullDelay	0.14136	141360	1	3
0.291209	Melbourne	0	42	LastDelay	0.248683	248683	1	4
0.291209	Melbourne	0	42	FullDelay	0.248683	248683	1	4
0.295419	Osaka	0	91	LastDelay	0.204181	204181	1	3
0.295419	Osaka	0	91	FullDelay	0.204181	204181	1	3
0.295582	Jakarta	0	159	LastDelay	0.141592	141592	1	3
0.295582	Jakarta	0	159	FullDelay	0.141592	141592	1	3
0.296763	LA	0	61	LastDelay	0.243978	243978	1	3
0.296763	LA	0	61	FullDelay	0.243978	243978	1	3
0.297257	Melbourne	0	50	LastDelay	0.249403	249403	1	4
0.297257	Melbourne	0	50	FullDelay	0.249403	249403	1	4
0.301467	Osaka	0	137	LastDelay	0.161036	161036	1	3
0.301467	Osaka	0	137	FullDelay	0.161036	161036	1	3
0.30163	Jakarta	0	164	LastDelay	0.141922	141922	1	3
0.30163	Jakarta	0	164	FullDelay	0.141922	141922	1	3
0.302811	LA	0	67	LastDelay	0.244521	244521	1	3
0.302811	LA	0	67	FullDelay	0.244521	244521	1	3
0.303305	Melbourne	0	55	LastDelay	0.248763	248763	1	4
0.303305	Melbourne	0	55	FullDelay	0.248763	248763	1	4
0.307515	Osaka	0	107	LastDelay	0.198385	198385	1	3
0.307515	Osaka	0	107	FullDelay	0.198385	198385	1	3
0.307678	Jakarta	0	170	LastDelay	0.141858	141858	1	3
0.307678	Jakarta	0	170	FullDelay	0.141858	141858	1	3
0.308859	LA	0	29	LastDelay	0.285678	285678	1	3
0.308859	LA	0	29	FullDelay	0.285678	285678	1	3
0.309353	Melbourne	0	60	LastDelay	0.248646	248646	1	4
0.309353	Melbourne	0	60	FullDelay	0.248646	248646	1	4
0.313563	Osaka	0	151	LastDelay	0.161179	161179	1	3
0.313563	Osaka	0	151	FullDelay	0.161179	161179	1	3
0.313726	Jakarta	0	177	LastDelay	0.141805	141805	1	3
0.313726	Jakarta	0	177	FullDelay	0.141805	141805	1	3
0.319611	Osaka	0	157	LastDelay	0.161048	161048	1	3
0.319611	Osaka	0	157	FullDelay	0.161048	161048	1	3
0.319774	Jakarta	0	184	LastDelay	0.141672	141672	1	3
0.319774	Jakarta	0	184	FullDelay	0.141672	141672	1	3
0.320955	LA	0	42	LastDelay	0.283332	283332	1	3
0.320955	LA	0	42	FullDelay	0.283332	283332	1	3
0.325659	Osaka	0	99	LastDelay	0.223927	223927	1	3
0.325659	Osaka	0	99	FullDelay	0.223927	223927	1	3
0.325822	Jakarta	0	13	LastDelay	0.0737806	73780.6	1	3
0.325822	Jakarta	0	13	FullDelay	0.314141	314141	2	3
0.327003	LA	0	50	LastDelay	0.28451	284510	1	3
0.327003	LA	0	50	FullDelay	0.28451	284510	1	3
0.331707	Osaka	0	130	LastDelay	0.198154	198154	1	3
0.331707	Osaka	0	130	FullDelay	0.198154	198154	1	3
0.33187	Jakarta	0	195	LastDelay	0.141947	141947	1	3
0.33187	Jakarta	0	195	FullDelay	0.141947	141947	1	3
0.333051	LA	0	55	LastDelay	0.284933	284933	1	3
0.333051	LA	0	55	FullDelay	0.284933	284933	1	3
0.333545	Melbourne	0	125	LastDelay	0.210909	210909	1	4
