Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
0.0771244	Jakarta	0	1	LastDelay	0.0751539	75153.9	1	3
0.0771244	Jakarta	0	1	FullDelay	0.0751539	75153.9	1	3
0.0778068	Jakarta	0	2	LastDelay	0.0751539	75153.9	1	3
0.0778068	Jakarta	0	2	FullDelay	0.0751539	75153.9	1	3
0.0782068	Jakarta	0	3	LastDelay	0.0752963	75296.3	1	3
0.0782068	Jakarta	0	3	FullDelay	0.0752963	75296.3	1	3
0.0786068	Jakarta	0	4	LastDelay	0.0755282	75528.2	1	3
0.0786068	Jakarta	0	4	FullDelay	0.0755282	75528.2	1	3
0.0799033	Jakarta	0	5	LastDelay	0.0751539	75153.9	1	3
0.0799033	Jakarta	0	5	FullDelay	0.0751539	75153.9	1	3
0.0803033	Jakarta	0	6	LastDelay	0.0752682	75268.2	1	3
0.0803033	Jakarta	0	6	FullDelay	0.0752682	75268.2	1	3
0.0810836	Jakarta	0	7	LastDelay	0.0751539	75153.9	1	3
0.0810836	Jakarta	0	7	FullDelay	0.0751539	75153.9	1	3
0.081865	Jakarta	0	8	LastDelay	0.0751539	75153.9	1	3
0.081865	Jakarta	0	8	FullDelay	0.0751539	75153.9	1	3
0.0825846	Jakarta	0	9	LastDelay	0.0751539	75153.9	1	3
0.0825846	Jakarta	0	9	FullDelay	0.0751539	75153.9	1	3
0.0833968	Jakarta	0	10	LastDelay	0.0751539	75153.9	1	3
0.0833968	Jakarta	0	10	FullDelay	0.0751539	75153.9	1	3
0.0841747	Jakarta	0	11	LastDelay	0.0751539	75153.9	1	3
0.0841747	Jakarta	0	11	FullDelay	0.0751539	75153.9	1	3
0.0849428	Jakarta	0	12	LastDelay	0.0751539	75153.9	1	3
0.0849428	Jakarta	0	12	FullDelay	0.0751539	75153.9	1	3
0.0868351	Jakarta	0	13	LastDelay	0.0751539	75153.9	1	3
0.0868351	Jakarta	0	13	FullDelay	0.0751539	75153.9	1	3
0.087411	Jakarta	0	14	LastDelay	0.0751539	75153.9	1	3
0.087411	Jakarta	0	14	FullDelay	0.0751539	75153.9	1	3
0.0891922	Jakarta	0	15	LastDelay	0.0751539	75153.9	1	3
0.0891922	Jakarta	0	15	FullDelay	0.0751539	75153.9	1	3
0.0904278	Jakarta	0	16	LastDelay	0.0751539	75153.9	1	3
0.0904278	Jakarta	0	16	FullDelay	0.0751539	75153.9	1	3
0.0905866	Osaka	0	1	LastDelay	0.0892853	89285.3	1	3
0.0905866	Osaka	0	1	FullDelay	0.0892853	89285.3	1	3
0.0916841	Osaka	0	2	LastDelay	0.0892853	89285.3	1	3
0.0916841	Osaka	0	2	FullDelay	0.0892853	89285.3	1	3
0.0917683	Jakarta	0	17	LastDelay	0.0751539	75153.9	1	3
0.0917683	Jakarta	0	17	FullDelay	0.0751539	75153.9	1	3
0.0921683	Jakarta	0	18	LastDelay	0.0753207	75320.7	1	3
0.0921683	Jakarta	0	18	FullDelay	0.0753207	75320.7	1	3
0.0927999	Osaka	0	3	LastDelay	0.0892853	89285.3	1	3
0.0927999	Osaka	0	3	FullDelay	0.0892853	89285.3	1	3
0.0934994	Jakarta	0	19	LastDelay	0.0751539	75153.9	1	3
0.0934994	Jakarta	0	19	FullDelay	0.0751539	75153.9	1	3
0.0939726	Osaka	0	4	LastDelay	0.0892853	89285.3	1	3
0.0939726	Osaka	0	4	FullDelay	0.0892853	89285.3	1	3
0.095023	Osaka	0	5	LastDelay	0.0892853	89285.3	1	3
0.095023	Osaka	0	5	FullDelay	0.0892853	89285.3	1	3
0.0951073	Jakarta	0	20	LastDelay	0.0751539	75153.9	1	3
0.0951073	Jakarta	0	20	FullDelay	0.0751539	75153.9	1	3
0.0959505	Osaka	0	6	LastDelay	0.0892853	89285.3	1	3
0.0959505	Osaka	0	6	FullDelay	0.0892853	89285.3	1	3
0.0961399	Jakarta	0	21	LastDelay	0.0751539	75153.9	1	3
0.0961399	Jakarta	0	21	FullDelay	0.0751539	75153.9	1	3
0.0977579	Osaka	0	7	LastDelay	0.0892853	89285.3	1	3
0.0977579	Osaka	0	7	FullDelay	0.0892853	89285.3	1	3
0.0980091	Jakarta	0	22	LastDelay	0.0751539	75153.9	1	3
0.0980091	Jakarta	0	22	FullDelay	0.0751539	75153.9	1	3
0.0986583	Osaka	0	8	LastDelay	0.0892853	89285.3	1	3
0.0986583	Osaka	0	8	FullDelay	0.0892853	89285.3	1	3
0.0992862	Osaka	0	9	LastDelay	0.0892853	89285.3	1	3
0.0992862	Osaka	0	9	FullDelay	0.0892853	89285.3	1	3
0.0996862	Osaka	0	10	LastDelay	0.0893776	89377.6	1	3
0.0996862	Osaka	0	10	FullDelay	0.0893776	89377.6	1	3
0.0997133	Jakarta	0	23	LastDelay	0.0751539	75153.9	1	3
0.0997133	Jakarta	0	23	FullDelay	0.0751539	75153.9	1	3
0.100136	Osaka	0	11	LastDelay	0.0892853	89285.3	1	3
0.100136	Osaka	0	11	FullDelay	0.0892853	89285.3	1	3
0.100214	Jakarta	0	24	LastDelay	0.0751539	75153.9	1	3
0.100214	Jakarta	0	24	FullDelay	0.0751539	75153.9	1	3
